letter_code,full_name,short_name,NC,Formula,NOSC,MW,polar_requirement,hydropathy,molecular_volume,isoelectric_point,canonical_SMILES
A,Alanine,ala,3,C3H7NO2,0,89.0935,7,1.8,31,6,CC(C(=O)O)N
R,Arginine,arg,6,C6H15N4O2+,0.33,174.2017,9.1,-4.5,124,10.76,C(CC(C(=O)O)N)CN=C(N)N
N,Asparagine,asn,4,C4H8N2O3,1,132.1184,10,-3.5,56,5.41,C(C(C(=O)O)N)C(=O)N
D,Aspartate,asp,4,C4H6NO4−,1,133.1032,13,-3.5,54,2.77,C(C(C(=O)[O-])N)C(=O)[O-]
C,Cysteine,cys,3,C3H7NO2S,0.67,121.159,4.8,2.5,55,5.07,C(C(C(=O)O)N)S
E,Glutamate,glu,5,C5H8NO4−,0.4,147.1299,12.5,-3.5,83,3.22,C(CC(=O)[O-])C(C(=O)[O-])[NH3+]
Q,Glutamine,gln,5,C5H10N2O3,0.4,146.1451,8.6,-3.5,85,5.65,C(CC(=O)N)C(C(=O)O)N
G,Glycine,gly,2,C2H5NO2,1,75.0669,7.9,-0.4,3,5.97,C(C(=O)O)N
H,Histidine,his,6,C6H9N3O2,0.67,155.1552,8.4,-3.2,96,7.59,C1=C(NC=N1)CC(C(=O)O)N
I,Isoleucine,ile,6,C6H13NO2,-1,131.1736,4.9,4.5,111,6.02,CCC(C)C(C(=O)O)N
L,Leucine,leu,6,C6H13NO2,-1,131.1736,4.9,3.8,111,5.98,CC(C)CC(C(=O)O)N
K,Lysine,lys,6,C6H15N2O2+,-0.67,146.1882,10.1,-3.9,119,9.74,C(CCN)CC(C(=O)O)N
M,Methionine,met,5,C5H11NO2S,-0.4,149.2124,5.3,1.9,105,5.74,CSCCC(C(=O)O)N
F,Phenylalanine,phe,9,C9H10NO2,-0.44,165.19,5,2.8,132,5.48,C1=CC=C(C=C1)CC(C(=O)O)N
P,Proline,pro,5,C5H9NO2,-0.4,115.131,6.6,-1.6,32.5,6.3,C1CC(NC1)C(=O)O
S,Serine,ser,3,C3H7NO3,0.67,105.093,7.5,-0.8,32,5.68,C(C(C(=O)O)N)O
T,Threonine,thr,4,C4H9NO3,0,119.1197,6.6,-0.7,61,6.16,CC(C(C(=O)O)N)O
W,Tryptophan,trp,11,C11H12N2O2,-0.18,204.2262,5.2,-0.9,170,5.89,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
Y,Tyrosine,tyr,9,C9H11NO3,-0.22,181.1894,5.4,-1.3,136,5.66,C1=CC(=CC=C1CC(C(=O)O)N)O
V,Valine,val,5,C5H11NO2,-0.8,117.1469,5.6,4.2,84,5.96,CC(C)C(C(=O)O)N
U,Selenocysteine,sec,3,C3H7NO2Se,0.67,168.065,,,,,C(C(C(=O)O)N)[Se]
