D_per_h,biomass_g_l,glucose_g_l,acetate_g_l,ammonium_g_l,CTR,OTR,c_recovery_pct,n_recovery_pct,r_biomass_g_l_h,r_glucose_g_g_h,r_co2_g_g_h,r_o2_g_g_h,r_acetate_g_g_h,r_ammonium_g_g_h
0.044,5.07,0,0,1.709,0.286,0.222,96,99,0.223,0.087,0.056,0.0437,0.0 000,0.006
0.066,5.05,0,0,1.688,0.44,0.288,97,98,0.333,0.131,0.087,0.057,0.0 000,0.0093
0.134,5.29,0,0,1.652,0.924,0.576,101,98,0.709,0.253,0.175,0.1089,0.0 000,0.019
0.15,5.24,0,0,1.65,0.915,0.615,95,98,0.785,0.287,0.175,0.1175,0.0 000,0.0215
0.17,5.23,0,0,1.656,1.113,0.896,98,98,0.889,0.325,0.213,0.1713,0.0 000,0.0242
0.203,5.41,0,0,1.629,1.276,0.95,98,98,1.098,0.375,0.236,0.1757,0.0 000,0.0289
0.265,5.28,0,0,1.632,1.536,1.044,93,97,1.399,0.502,0.291,0.1978,0.0 000,0.0385
0.28,5.53,0,0,1.62,1.676,1.226,97,98,1.548,0.506,0.303,0.2216,0.0 000,0.0395
0.3,5.53,0,0,1.612,1.795,1.312,97,98,1.659,0.542,0.325,0.2372,0.0 000,0.0427
0.347,5.61,0.229,0,1.617,1.905,1.357,96,99,1.945,0.605,0.34,0.2421,0.0 000,0.0485
0.375,5.69,0.295,0.048,1.59,1.888,1.373,95,98,2.132,0.64,0.332,0.2415,0.0032,0.0534
0.388,5.88,0.259,0.051,1.556,1.971,1.434,97,98,2.281,0.643,0.335,0.2438,0.0034,0.0557
0.397,5.27,0.398,0.062,1.635,2.015,1.387,93,97,2.092,0.723,0.382,0.2633,0.0047,0.0577
0.41,3.82,1.822,1.14,1.835,0.462,0.33,76,98,,,,,,
0.415,1.05,6.048,1.5,2.245,0.207,0.147,89,99,,,,,,
