D_per_h,biomass_g_l,glucose_g_l,acetate_g_l,ammonium_g_l,CTR,OTR,c_recovery_pct,n_recovery_pct,r_biomass_g_l_h,r_glucose_g_g_h,r_co2_g_g_h,r_o2_g_g_h,r_acetate_g_g_h,r_ammonium_g_g_h,r_o2_mmol_g_h,r_co2_mmol_g_h,r_o2_mmol_NADH_g_h,r_glucose_mmol_g_h
0.044,5.07,0.0,0.0,1.709,0.286,0.222,96,99,0.223,0.087,0.056,0.0437,0.0 000,0.006,1.3656676771149099,1.2724380822540333,2.7313353542298198,0.4829148071671218
0.066,5.05,0.0,0.0,1.688,0.44,0.288,97,98,0.333,0.131,0.087,0.057,0.0 000,0.0093,1.7813056658020563,1.9768234492160874,3.5626113316041126,0.7271475832056662
0.134,5.29,0.0,0.0,1.652,0.924,0.576,101,98,0.709,0.253,0.175,0.1089,0.0 000,0.019,3.403231350979718,3.976369007043854,6.806462701959436,1.4043384622216302
0.15,5.24,0.0,0.0,1.65,0.915,0.615,95,98,0.785,0.287,0.175,0.1175,0.0 000,0.0215,3.671989749679678,3.976369007043854,7.343979499359356,1.5930637891605053
0.17,5.23,0.0,0.0,1.656,1.113,0.896,98,98,0.889,0.325,0.213,0.1713,0.0 000,0.0242,5.353292290384075,4.839809134287662,10.70658458076815,1.8039920957392481
0.203,5.41,0.0,0.0,1.629,1.276,0.95,98,98,1.098,0.375,0.236,0.1757,0.0 000,0.0289,5.490796587393356,5.362417632356283,10.981593174786711,2.081529341237594
0.265,5.28,0.0,0.0,1.632,1.536,1.044,93,97,1.399,0.502,0.291,0.1978,0.0 000,0.0385,6.181443170099066,6.612133605998637,12.362886340198132,2.7864739448033924
0.28,5.53,0.0,0.0,1.62,1.676,1.226,97,98,1.548,0.506,0.303,0.2216,0.0 000,0.0395,6.925216413012906,6.884798909338787,13.850432826025813,2.8086769244432603
0.3,5.53,0.0,0.0,1.612,1.795,1.312,97,98,1.659,0.542,0.325,0.2372,0.0 000,0.0427,7.412731647863995,7.384685298795729,14.82546329572799,3.008503741202069
0.347,5.61,0.229,0.0,1.617,1.905,1.357,96,99,1.945,0.605,0.34,0.2421,0.0 000,0.0485,7.565861433169788,7.725516927970916,15.131722866339576,3.358200670529985
0.375,5.69,0.295,0.048,1.59,1.888,1.373,95,98,2.132,0.64,0.332,0.2415,0.0032,0.0534,7.547110847213975,7.543740059077483,15.09422169442795,3.5524767423788273
0.388,5.88,0.259,0.051,1.556,1.971,1.434,97,98,2.281,0.643,0.335,0.2438,0.0034,0.0557,7.618988093377918,7.61190638491252,15.237976186755835,3.569128977108728
0.397,5.27,0.398,0.062,1.635,2.015,1.387,93,97,2.092,0.723,0.382,0.2633,0.0047,0.0577,8.228382136941779,8.67984548966144,16.456764273883557,4.013188569906081
0.41,3.82,1.822,1.14,1.835,0.462,0.33,76,98,,,,,,,,,,
0.415,1.05,6.048,1.5,2.245,0.207,0.147,89,99,,,,,,,,,,
