short_name,condition,weight_percent,NC,mw_daltons,NOSC,C_fraction
myristic,10_C,3.9,14,228.37,-1.7142857142857142,0.03838303648777112
palmitic,10_C,18.2,16,256.42,-1.75,0.1823161800735728
hexadecenoic,10_C,26.0,16,254.41,-1.625,0.2625094189607638
ch2_hexadecenoic,10_C,1.3,17,268.4,-1.6470588235294117,0.013218905571473719
octadecenoic,10_C,37.9,18,282.5,-1.6666666666666667,0.3876850026865262
ch2_octadecenoic,10_C,0.0,19,296.5,-1.6842105263157894,0.0
bOH_myristic,10_C,12.6,14,244.37,-1.5714285714285714,0.11588745621989233
myristic,15_C,3.8,14,228.37,-1.7142857142857142,0.03738068053862541
palmitic,15_C,21.9,16,256.42,-1.75,0.21927384140079023
hexadecenoic,15_C,25.3,16,254.41,-1.625,0.25531771510793677
ch2_hexadecenoic,15_C,1.1,17,268.4,-1.6470588235294117,0.011179791865547585
octadecenoic,15_C,35.4,18,282.5,-1.6666666666666667,0.36193612991595375
ch2_octadecenoic,15_C,0.0,19,296.5,-1.6842105263157894,0.0
bOH_myristic,15_C,12.5,14,244.37,-1.5714285714285714,0.11491184117114638
myristic,20_C,4.1,14,228.37,-1.7142857142857142,0.040275256917160024
palmitic,20_C,25.4,16,256.42,-1.75,0.25396114847854373
hexadecenoic,20_C,24.4,16,254.41,-1.625,0.2458901376112747
ch2_hexadecenoic,20_C,1.5,17,268.4,-1.6470588235294117,0.015223802736397769
octadecenoic,20_C,34.2,18,282.5,-1.6666666666666667,0.34917700693096004
ch2_octadecenoic,20_C,0.0,19,296.5,-1.6842105263157894,0.0
bOH_myristic,20_C,10.4,14,244.37,-1.5714285714285714,0.0954726473256638
myristic,25_C,3.8,14,228.37,-1.7142857142857142,0.03716705537355067
palmitic,25_C,27.6,16,256.42,-1.75,0.2747658429563743
hexadecenoic,25_C,23.2,16,254.41,-1.625,0.23278734327339143
ch2_hexadecenoic,25_C,3.1,17,268.4,-1.6470588235294117,0.0313266300269464
octadecenoic,25_C,35.5,18,282.5,-1.6666666666666667,0.3608842929260306
ch2_octadecenoic,25_C,0.0,19,296.5,-1.6842105263157894,0.0
bOH_myristic,25_C,6.9,14,244.37,-1.5714285714285714,0.06306883544370658
myristic,30_C,4.1,14,228.37,-1.7142857142857142,0.04025028284427314
palmitic,30_C,28.9,16,256.42,-1.75,0.2887766178386434
hexadecenoic,30_C,23.3,16,254.41,-1.625,0.23465932753373867
ch2_hexadecenoic,30_C,3.4,17,268.4,-1.6470588235294117,0.03448588876033203
octadecenoic,30_C,30.3,18,282.5,-1.6666666666666667,0.3091667477784952
ch2_octadecenoic,30_C,0.0,19,296.5,-1.6842105263157894,0.0
bOH_myristic,30_C,10.1,14,244.37,-1.5714285714285714,0.09266113524451752
myristic,35_C,4.7,14,228.37,-1.7142857142857142,0.04622536551365739
palmitic,35_C,31.7,16,256.42,-1.75,0.3173371092104256
hexadecenoic,35_C,23.3,16,254.41,-1.625,0.23509058566124855
ch2_hexadecenoic,35_C,4.8,17,268.4,-1.6470588235294117,0.0487754359133762
octadecenoic,35_C,24.6,18,282.5,-1.6666666666666667,0.2514679678649877
ch2_octadecenoic,35_C,0.0,19,296.5,-1.6842105263157894,0.0
bOH_myristic,35_C,11.0,14,244.37,-1.5714285714285714,0.10110353583630449
myristic,40_C,6.1,14,228.37,-1.7142857142857142,0.05980565920601099
palmitic,40_C,37.1,16,256.42,-1.75,0.37022475923719755
hexadecenoic,40_C,28.0,16,254.41,-1.625,0.2816224672656667
ch2_hexadecenoic,40_C,3.2,17,268.4,-1.6470588235294117,0.03241453912736829
octadecenoic,40_C,20.8,18,282.5,-1.6666666666666667,0.21195362609243534
ch2_octadecenoic,40_C,0.0,19,296.5,-1.6842105263157894,0.0
bOH_myristic,40_C,4.8,14,244.37,-1.5714285714285714,0.043978949071321105
myristic,43_C,7.7,14,228.37,-1.7142857142857142,0.0758351642960687
palmitic,43_C,48.0,16,256.42,-1.75,0.48117188915858505
hexadecenoic,43_C,9.2,16,254.41,-1.625,0.09295324488735442
ch2_hexadecenoic,43_C,11.6,17,268.4,-1.6470588235294117,0.11803622787486005
octadecenoic,43_C,12.2,18,282.5,-1.6666666666666667,0.12488342662998962
ch2_octadecenoic,43_C,3.7,19,296.5,-1.6842105263157894,0.03809092773331454
bOH_myristic,43_C,7.5,14,244.37,-1.5714285714285714,0.06902911941982755
myristic,succinate_MM,4.2,14,228.37,-1.7142857142857142,0.04123530328258378
palmitic,succinate_MM,21.0,16,256.42,-1.75,0.20985450679451467
hexadecenoic,succinate_MM,28.7,16,254.41,-1.625,0.28906706994251113
ch2_hexadecenoic,succinate_MM,1.3,17,268.4,-1.6470588235294117,0.013186838309611558
octadecenoic,succinate_MM,34.6,18,282.5,-1.6666666666666667,0.3530702057665926
ch2_octadecenoic,succinate_MM,0.0,19,296.5,-1.6842105263157894,0.0
