dataset,strain,condition,growth_rate_hr,growth_mode,Ce_total,NC_total,proteome_NOSC
li_2014,MG1655,MOPS complete,1.934364224818452,batch,-2873415632.77745,19793881848.75408,-0.14516685785705627
li_2014,MG1655,MOPS complete without methionine,1.5693898427772346,batch,-2085635183.558719,14560258084.581642,-0.1432416356525486
li_2014,MG1655,MOPS minimal,0.738700370046123,batch,-1020721554.1270155,7199098357.39778,-0.14178463794401752
peebo_2015,BW25113,glucose_minimal,0.21,chemostat,-632492890.8829935,4438966337.488967,-0.14248652564479275
peebo_2015,BW25113,glucose_minimal,0.22,chemostat,-637481354.1700577,4479156126.642541,-0.14232175350580983
peebo_2015,BW25113,glucose_minimal,0.26,chemostat,-663498278.6470698,4644506668.824824,-0.1428565671141455
peebo_2015,BW25113,glucose_minimal,0.31,chemostat,-698134668.856349,4862400456.345254,-0.1435781925253213
peebo_2015,BW25113,glucose_minimal,0.36,chemostat,-734931167.6133356,5084070267.863793,-0.1445556667968982
peebo_2015,BW25113,glucose_minimal,0.41,chemostat,-767130299.291353,5321234462.941355,-0.1441639725958092
peebo_2015,BW25113,glucose_minimal,0.46,chemostat,-805216494.2131362,5566318988.6361475,-0.14465870458682234
peebo_2015,BW25113,glucose_minimal,0.51,chemostat,-842082644.8500983,5822962539.756171,-0.14461412710468155
peebo_2015,BW25113,rich,0.25,chemostat,-659757062.0255829,4600756970.366774,-0.1434018502335686
peebo_2015,BW25113,rich,0.35,chemostat,-729310404.0099261,5043853118.457504,-0.14459390209859274
peebo_2015,BW25113,rich,0.42,chemostat,-783300512.8260994,5374832061.971536,-0.14573488134972126
peebo_2015,BW25113,rich,0.45,chemostat,-803129949.0292357,5523263826.176093,-0.14540857983698102
peebo_2015,BW25113,rich,0.53,chemostat,-865182774.9999973,5938554815.780516,-0.1456891115496565
peebo_2015,BW25113,rich,0.55,chemostat,-882009450.7441618,6045472197.456071,-0.14589587412465657
peebo_2015,BW25113,rich,0.63,chemostat,-949969961.745457,6501128557.77536,-0.14612385423593746
peebo_2015,BW25113,rich,0.65,chemostat,-965245395.9254172,6617495310.151731,-0.14586264903651067
peebo_2015,BW25113,rich,0.73,chemostat,-1042670235.4034674,7150443748.90899,-0.1458189550211562
peebo_2015,BW25113,rich,0.74,chemostat,-1049434649.2236431,7207546626.976253,-0.14560220051797396
peebo_2015,BW25113,rich,0.78,chemostat,-1085846614.0156987,7451455861.457973,-0.14572274656180262
peebo_2015,BW25113,rich,0.82,chemostat,-1109043500.6375186,7700418449.150061,-0.14402379662366663
schmidt_2016,BW25113,42C,0.66,batch,-967196573.8425882,6637538170.192913,-0.14571615997418477
schmidt_2016,BW25113,acetate,0.3,batch,-690583128.0149295,4809245132.757981,-0.14359491124938717
schmidt_2016,BW25113,chemostat_u0.12,0.12,chemostat,-585736694.0839106,4090873214.8240366,-0.14318133643481915
schmidt_2016,BW25113,chemostat_u0.2,0.2,chemostat,-634120803.576332,4398093581.814084,-0.1441808346685465
schmidt_2016,BW25113,chemostat_u0.35,0.35,chemostat,-733025063.4227121,5043504131.715983,-0.14534043083519996
schmidt_2016,BW25113,chemostat_u0.5,0.5,chemostat,-847017216.2543666,5773069833.521402,-0.1467186853233873
schmidt_2016,BW25113,fructose,0.65,batch,-975083539.7322932,6597722025.653865,-0.1477909399548639
schmidt_2016,BW25113,fumarate,0.42,batch,-777542309.6990252,5362198247.501937,-0.14500439443119345
schmidt_2016,BW25113,galactose,0.26,batch,-662921108.8627247,4631581388.086768,-0.14313061853298592
schmidt_2016,BW25113,glucosamine,0.46,batch,-807676864.3164638,5547950440.858788,-0.14558112458398972
schmidt_2016,BW25113,glucose,0.58,batch,-905848448.9187688,6189566761.849131,-0.14635086489448365
schmidt_2016,BW25113,glycerol,0.47,batch,-815541802.9976312,5606385824.61305,-0.14546658551704644
schmidt_2016,BW25113,glycerol_pAA,1.27,batch,-1650777836.036703,11263060903.347279,-0.14656564944491307
schmidt_2016,BW25113,lb_miller,1.9,batch,-2823807825.9408927,19223176560.36571,-0.1468960042620121
schmidt_2016,BW25113,mannose,0.47,batch,-819026165.0414518,5608490375.009967,-0.14603326568782715
schmidt_2016,BW25113,osmotic_stress_glucose,0.55,batch,-867706473.0445523,6007930215.930917,-0.14442685614817896
schmidt_2016,BW25113,pH6,0.63,batch,-936428047.4848722,6462866211.663165,-0.144893614816744
schmidt_2016,BW25113,pyruvate,0.4,batch,-778036341.3448405,5264003275.892986,-0.14780316435362673
schmidt_2016,BW25113,succinate,0.44,batch,-797168536.3367207,5459354364.574074,-0.14601882990222673
schmidt_2016,BW25113,xylose,0.55,batch,-876655461.2470605,6019324617.281136,-0.1456401701164667
valgepea_2013,MG1655,glucose_minimal,0.11,chemostat,-576112682.805637,3947419403.455356,-0.14594666133052375
valgepea_2013,MG1655,glucose_minimal,0.21,chemostat,-604587088.414691,4096512263.2662964,-0.1475858119200727
valgepea_2013,MG1655,glucose_minimal,0.31,chemostat,-674186268.5971323,4544383043.106781,-0.14835595111635283
valgepea_2013,MG1655,glucose_minimal,0.4,chemostat,-738914941.4963124,4976073083.708635,-0.14849358702457074
valgepea_2013,MG1655,glucose_minimal,0.49,chemostat,-795786061.1728975,5373643300.474458,-0.14809060011531372
