number_nonzero,r2,alpha,conditions_included,organism_key
4,-0.9134363335934017,1e-06,chemostat,yeast
3,-0.8936412699853238,8.685113737513521e-07,chemostat,yeast
3,-0.8809027133597456,7.543120063354623e-07,chemostat,yeast
4,-0.6566783355775869,6.55128556859551e-07,chemostat,yeast
5,-0.32491325672872695,5.689866029018293e-07,chemostat,yeast
6,-0.06424870519914383,4.941713361323838e-07,chemostat,yeast
6,0.16458954729547692,4.2919342601287785e-07,chemostat,yeast
6,0.33768228633103625,3.727593720314938e-07,chemostat,yeast
6,0.47026463499536686,3.2374575428176464e-07,chemostat,yeast
6,0.5708773084989681,2.811768697974231e-07,chemostat,yeast
6,0.6469737100696051,2.4420530945486497e-07,chemostat,yeast
6,0.7044830589971857,2.1209508879201927e-07,chemostat,yeast
6,0.7479338042822038,1.8420699693267165e-07,chemostat,yeast
6,0.7807646549311641,1.5998587196060574e-07,chemostat,yeast
6,0.805575160028954,1.389495494373139e-07,chemostat,yeast
6,0.8243238239123922,1.2067926406393288e-07,chemostat,yeast
6,0.8384854077075665,1.0481131341546853e-07,chemostat,yeast
6,0.8491932040737057,9.102981779915227e-08,chemostat,yeast
7,0.8560315738634838,7.906043210907701e-08,chemostat,yeast
7,0.8581030559152341,6.866488450042998e-08,chemostat,yeast
7,0.8581212020397098,5.963623316594637e-08,chemostat,yeast
9,0.8639138414226266,5.1794746792312124e-08,chemostat,yeast
9,0.878105055341915,4.498432668969444e-08,chemostat,yeast
9,0.8879812547998527,3.906939937054621e-08,chemostat,yeast
9,0.8983241845621897,3.3932217718953296e-08,chemostat,yeast
9,0.9064816609106086,2.9470517025518096e-08,chemostat,yeast
11,0.904211899925502,2.5595479226995333e-08,chemostat,yeast
11,0.9163029218473572,2.2229964825261957e-08,chemostat,yeast
11,0.9335317836526084,1.9306977288832496e-08,chemostat,yeast
11,0.9485140055828377,1.67683293681101e-08,chemostat,yeast
12,0.9636549612403134,1.4563484775012444e-08,chemostat,yeast
13,0.9709574405059292,1.2648552168552958e-08,chemostat,yeast
11,0.9778677674837255,1.0985411419875573e-08,chemostat,yeast
11,0.9831104111889187,9.540954763499964e-09,chemostat,yeast
11,0.986557808499397,8.28642772854686e-09,chemostat,yeast
12,0.9868517764575214,7.1968567300115284e-09,chemostat,yeast
11,0.9880891934690653,6.250551925273976e-09,chemostat,yeast
14,0.9885158093080848,5.4286754393238595e-09,chemostat,yeast
14,0.9899915327730252,4.71486636345739e-09,chemostat,yeast
15,0.9897812508725105,4.094915062380419e-09,chemostat,yeast
16,0.9921750240036397,3.556480306223121e-09,chemostat,yeast
21,0.9861276920077672,3.088843596477485e-09,chemostat,yeast
21,0.9894406706536719,2.6826957952797275e-09,chemostat,yeast
22,0.9912623665700842,2.3299518105153718e-09,chemostat,yeast
23,0.9927909893107645,2.0235896477251556e-09,chemostat,yeast
22,0.9943201563297325,1.7575106248547966e-09,chemostat,yeast
22,0.9955832620521455,1.5264179671752366e-09,chemostat,yeast
22,0.9966034181169499,1.3257113655901108e-09,chemostat,yeast
22,0.9973802007639769,1.151395399326448e-09,chemostat,yeast
24,0.9980156984783467,1e-09,chemostat,yeast
