number_nonzero,r2,alpha,conditions_included,organism_key
4,0.45529920643085053,1e-06,chemostat,PCC6803
4,0.5903591580788587,8.685113737513521e-07,chemostat,PCC6803
4,0.6919028109914312,7.543120063354623e-07,chemostat,PCC6803
4,0.7718520386136403,6.55128556859551e-07,chemostat,PCC6803
5,0.819609085253072,5.689866029018293e-07,chemostat,PCC6803
5,0.8505449695712267,4.941713361323838e-07,chemostat,PCC6803
5,0.8761380183984491,4.2919342601287785e-07,chemostat,PCC6803
5,0.8980139538381533,3.727593720314938e-07,chemostat,PCC6803
4,0.9124254520715673,3.2374575428176464e-07,chemostat,PCC6803
4,0.9205124467151172,2.811768697974231e-07,chemostat,PCC6803
4,0.9292717209381173,2.4420530945486497e-07,chemostat,PCC6803
4,0.9352385227906406,2.1209508879201927e-07,chemostat,PCC6803
4,0.9405916907978152,1.8420699693267165e-07,chemostat,PCC6803
4,0.9453018968993001,1.5998587196060574e-07,chemostat,PCC6803
4,0.9492178187567115,1.389495494373139e-07,chemostat,PCC6803
4,0.952356899538814,1.2067926406393288e-07,chemostat,PCC6803
6,0.9342985867758716,1.0481131341546853e-07,chemostat,PCC6803
6,0.935574265941391,9.102981779915227e-08,chemostat,PCC6803
4,0.9580432941313305,7.906043210907701e-08,chemostat,PCC6803
5,0.9590345458818244,6.866488450042998e-08,chemostat,PCC6803
5,0.9597175479810817,5.963623316594637e-08,chemostat,PCC6803
5,0.9606582755282462,5.1794746792312124e-08,chemostat,PCC6803
4,0.961450390330654,4.498432668969444e-08,chemostat,PCC6803
4,0.9622359885313724,3.906939937054621e-08,chemostat,PCC6803
8,0.9469237133702764,3.3932217718953296e-08,chemostat,PCC6803
6,0.9617187098769964,2.9470517025518096e-08,chemostat,PCC6803
8,0.948929627289908,2.5595479226995333e-08,chemostat,PCC6803
7,0.9514514077215483,2.2229964825261957e-08,chemostat,PCC6803
8,0.9580652912405625,1.9306977288832496e-08,chemostat,PCC6803
8,0.966940042859789,1.67683293681101e-08,chemostat,PCC6803
8,0.9737890331881637,1.4563484775012444e-08,chemostat,PCC6803
15,0.9928425304380746,1.2648552168552958e-08,chemostat,PCC6803
15,0.9944065610213847,1.0985411419875573e-08,chemostat,PCC6803
15,0.9956768064226705,9.540954763499964e-09,chemostat,PCC6803
15,0.99671679280181,8.28642772854686e-09,chemostat,PCC6803
15,0.9975075257943559,7.1968567300115284e-09,chemostat,PCC6803
16,0.9977502278106868,6.250551925273976e-09,chemostat,PCC6803
15,0.997846274215914,5.4286754393238595e-09,chemostat,PCC6803
15,0.9979961444852634,4.71486636345739e-09,chemostat,PCC6803
13,0.9980812130826349,4.094915062380419e-09,chemostat,PCC6803
19,0.9988340961531147,3.556480306223121e-09,chemostat,PCC6803
18,0.9984203870248647,3.088843596477485e-09,chemostat,PCC6803
18,0.9988241678346327,2.6826957952797275e-09,chemostat,PCC6803
18,0.9991219089895614,2.3299518105153718e-09,chemostat,PCC6803
17,0.9982675761407485,2.0235896477251556e-09,chemostat,PCC6803
17,0.9983288334554256,1.7575106248547966e-09,chemostat,PCC6803
15,0.9969488282198836,1.5264179671752366e-09,chemostat,PCC6803
15,0.9973224724727296,1.3257113655901108e-09,chemostat,PCC6803
14,0.9983242242376437,1.151395399326448e-09,chemostat,PCC6803
14,0.9987224344104813,1e-09,chemostat,PCC6803
