organism_condition,COG_category,number_proteins
coli_chemostat,J,1
coli_batch,J,2
coli_both,J,3
coli_all,J,6
PCC6803_chemostat,J,1
coli_chemostat,A,0
coli_batch,A,0
coli_both,A,0
coli_all,A,0
PCC6803_chemostat,A,0
coli_chemostat,K,0
coli_batch,K,0
coli_both,K,0
coli_all,K,1
PCC6803_chemostat,K,0
coli_chemostat,L,0
coli_batch,L,0
coli_both,L,0
coli_all,L,0
PCC6803_chemostat,L,0
coli_chemostat,B,0
coli_batch,B,0
coli_both,B,0
coli_all,B,0
PCC6803_chemostat,B,0
coli_chemostat,D,0
coli_batch,D,0
coli_both,D,0
coli_all,D,0
PCC6803_chemostat,D,0
coli_chemostat,Y,0
coli_batch,Y,0
coli_both,Y,0
coli_all,Y,0
PCC6803_chemostat,Y,0
coli_chemostat,V,0
coli_batch,V,0
coli_both,V,0
coli_all,V,0
PCC6803_chemostat,V,0
coli_chemostat,T,0
coli_batch,T,0
coli_both,T,0
coli_all,T,0
PCC6803_chemostat,T,0
coli_chemostat,M,1
coli_batch,M,1
coli_both,M,1
coli_all,M,2
PCC6803_chemostat,M,2
coli_chemostat,N,0
coli_batch,N,0
coli_both,N,0
coli_all,N,0
PCC6803_chemostat,N,0
coli_chemostat,Z,0
coli_batch,Z,0
coli_both,Z,0
coli_all,Z,0
PCC6803_chemostat,Z,0
coli_chemostat,W,0
coli_batch,W,0
coli_both,W,0
coli_all,W,0
PCC6803_chemostat,W,0
coli_chemostat,U,0
coli_batch,U,0
coli_both,U,0
coli_all,U,0
PCC6803_chemostat,U,0
coli_chemostat,O,0
coli_batch,O,0
coli_both,O,0
coli_all,O,1
PCC6803_chemostat,O,2
coli_chemostat,X,0
coli_batch,X,0
coli_both,X,0
coli_all,X,0
PCC6803_chemostat,X,0
coli_chemostat,C,5
coli_batch,C,4
coli_both,C,3
coli_all,C,10
PCC6803_chemostat,C,2
coli_chemostat,G,0
coli_batch,G,4
coli_both,G,5
coli_all,G,8
PCC6803_chemostat,G,1
coli_chemostat,E,1
coli_batch,E,2
coli_both,E,4
coli_all,E,7
PCC6803_chemostat,E,0
coli_chemostat,F,0
coli_batch,F,0
coli_both,F,0
coli_all,F,1
PCC6803_chemostat,F,0
coli_chemostat,H,0
coli_batch,H,0
coli_both,H,0
coli_all,H,1
PCC6803_chemostat,H,2
coli_chemostat,I,1
coli_batch,I,2
coli_both,I,2
coli_all,I,3
PCC6803_chemostat,I,0
coli_chemostat,P,0
coli_batch,P,0
coli_both,P,0
coli_all,P,0
PCC6803_chemostat,P,1
coli_chemostat,Q,0
coli_batch,Q,0
coli_both,Q,0
coli_all,Q,0
PCC6803_chemostat,Q,0
coli_chemostat,R,0
coli_batch,R,0
coli_both,R,0
coli_all,R,0
PCC6803_chemostat,R,0
coli_chemostat,S,0
coli_batch,S,0
coli_both,S,0
coli_all,S,0
PCC6803_chemostat,S,0
