gene_id,genome_accession,Ce,NC,NOSC
NZ_JAEG01000001.1_1,RS_GCF_000518785,-104.08,617,-0.16868719611021069
NZ_JAEG01000001.1_2,RS_GCF_000518785,-113.81,615,-0.1850569105691057
NZ_JAEG01000001.1_3,RS_GCF_000518785,-325.9,2587,-0.125976034016235
NZ_JAEG01000001.1_4,RS_GCF_000518785,-400.79,1434,-0.27949093444909345
NZ_JAEG01000001.1_5,RS_GCF_000518785,-109.94999999999999,545,-0.20174311926605504
NZ_JAEG01000001.1_6,RS_GCF_000518785,-155.7,1100,-0.14154545454545453
NZ_JAEG01000001.1_7,RS_GCF_000518785,-572.46,3180,-0.18001886792452831
NZ_JAEG01000001.1_8,RS_GCF_000518785,-413.29,2470,-0.16732388663967612
NZ_JAEG01000001.1_9,RS_GCF_000518785,-68.19,518,-0.13164092664092664
NZ_JAEG01000001.1_10,RS_GCF_000518785,-234.43999999999997,5297,-0.044259014536530104
NZ_JAEG01000001.1_11,RS_GCF_000518785,-450.45,3259,-0.13821724455354403
NZ_JAEG01000001.1_12,RS_GCF_000518785,-245.65000000000003,2026,-0.12124876604146102
NZ_JAEG01000001.1_13,RS_GCF_000518785,-58.0,284,-0.20422535211267606
NZ_JAEG01000001.1_14,RS_GCF_000518785,-180.02999999999997,839,-0.21457687723480331
NZ_JAEG01000001.1_15,RS_GCF_000518785,-99.61999999999999,1316,-0.07569908814589665
NZ_JAEG01000001.1_16,RS_GCF_000518785,-43.86000000000001,347,-0.1263976945244957
NZ_JAEG01000001.1_17,RS_GCF_000518785,-450.87,2692,-0.1674851411589896
NZ_JAEG01000001.1_18,RS_GCF_000518785,-325.21000000000004,2274,-0.1430123131046614
NZ_JAEG01000001.1_19,RS_GCF_000518785,-40.11000000000001,535,-0.07497196261682244
NZ_JAEG01000001.1_20,RS_GCF_000518785,-107.71000000000001,626,-0.17206070287539937
NZ_JAEG01000001.1_21,RS_GCF_000518785,-238.13,2092,-0.11382887189292543
NZ_JAEG01000001.1_22,RS_GCF_000518785,-147.73,1227,-0.12039934800325998
NZ_JAEG01000001.1_23,RS_GCF_000518785,-151.66,1335,-0.11360299625468165
NZ_JAEG01000001.1_24,RS_GCF_000518785,-157.76999999999998,1222,-0.1291080196399345
NZ_JAEG01000001.1_25,RS_GCF_000518785,-99.95,571,-0.17504378283712785
NZ_JAEG01000001.1_26,RS_GCF_000518785,-13.749999999999998,528,-0.026041666666666664
NZ_JAEG01000001.1_27,RS_GCF_000518785,-171.78,1211,-0.14184971098265897
NZ_JAEG01000001.1_28,RS_GCF_000518785,-396.9,3058,-0.12979071288423805
NZ_JAEG01000001.1_29,RS_GCF_000518785,-46.01,505,-0.0911089108910891
NZ_JAEG01000001.1_30,RS_GCF_000518785,-339.33000000000004,2015,-0.16840198511166254
NZ_JAEG01000001.1_31,RS_GCF_000518785,-289.83,2041,-0.14200391964723175
NZ_JAEG01000001.1_32,RS_GCF_000518785,-43.93,298,-0.14741610738255034
