genome_accession,genome_avg_NOSC
RS_GCF_000971475,-0.1594012860756287
RS_GCF_003693265,-0.11905916087635453
GB_GCA_018969935,-0.15263044738356277
GB_GCA_016790845,-0.1580998691639788
GB_GCA_900321855,-0.17516412952850097
RS_GCF_015142735,-0.12134828532979518
RS_GCF_014208095,-0.11791002598228659
RS_GCF_009604385,-0.11187911844562025
GB_GCA_007128525,-0.12723427156718298
RS_GCF_007713735,-0.12619900031090533
RS_GCF_001698205,-0.12747369676769427
RS_GCF_001646745,-0.13132800344160664
GB_GCA_009704445,-0.17271598160145432
RS_GCF_900258435,-0.19842017258259806
RS_GCF_000758665,-0.16674285714285714
GB_GCA_018820855,-0.16827730303893246
GB_GCA_015494005,-0.15553420378791585
GB_GCA_016712315,-0.11448420757352158
GB_GCA_017478485,-0.17191030204090285
RS_GCF_000017845,-0.17515707087998303
GB_GCA_016791105,-0.12959881396065762
GB_GCA_009840225,-0.13222334084473542
RS_GCF_002000545,-0.17572365359656367
GB_GCA_017405225,-0.17309152020827154
GB_GCA_900547435,-0.16016573172330967
GB_GCA_002841195,-0.1398548743722844
GB_GCA_009391845,-0.12912917613206898
GB_GCA_018698735,-0.18027884577552902
GB_GCA_902525615,-0.18807968916431367
RS_GCF_003367315,-0.1360127780129699
GB_GCA_016297965,-0.18920427571880566
GB_GCA_013314735,-0.15725126267970144
GB_GCA_016933475,-0.12965891908459334
GB_GCA_013285705,-0.1398630833478889
RS_GCF_900103215,-0.17000335361199528
RS_GCF_900113445,-0.1382113362153808
GB_GCA_016938235,-0.18066511210279895
GB_GCA_003164825,-0.1440941407190267
RS_GCF_001676725,-0.13508077734833487
GB_GCA_900541335,-0.14867182731404532
GB_GCA_012837865,-0.1990839245790001
GB_GCA_016934395,-0.19397951740744604
GB_GCA_900473415,-0.1531920169383508
RS_GCF_003751635,-0.13099963311796234
GB_GCA_016235245,-0.18198857013369774
RS_GCF_001458335,-0.14401591766721045
GB_GCA_019245115,-0.11707890177492543
RS_GCF_003076635,-0.1639654389256774
GB_GCA_016841365,-0.16960464116788704
GB_GCA_015486895,-0.16678002665722744
GB_GCA_002436765,-0.15770179269404241
RS_GCF_006094695,-0.12067454504703168
RS_GCF_900111395,-0.18082291098868528
GB_GCA_002923335,-0.16585680031792083
GB_GCA_017554135,-0.15137030388749448
GB_GCA_900768435,-0.13207735981187357
RS_GCF_014197105,-0.12759786928640202
GB_GCA_017427525,-0.16166148431808042
GB_GCA_011057325,-0.14182269310962797
GB_GCA_015058185,-0.17512708143279748
RS_GCF_000012225,-0.23330954675693963
GB_GCA_002699085,-0.16668711652242948
RS_GCF_003054285,-0.1398913927424047
GB_GCA_006227085,-0.14424511104401888
GB_GCA_002415895,-0.1470140967210538
RS_GCF_007858285,-0.15260757840031405
RS_GCF_009863025,-0.11246669411928752
GB_GCA_016235865,-0.18420488914709357
RS_GCF_003217615,-0.13710324695824364
GB_GCA_002427545,-0.18333081539968218
GB_GCA_009787025,-0.19745183948087622
RS_GCF_003075375,-0.1260385017423444
RS_GCF_000292525,-0.1490697445664914
