X,Y,method,covar,alternative,n,r,CI95%,p-unc,p-corr,p-adjust,X_desc,Y_desc,X_COG,Y_COG,COG_pair
PF00380.20,PF00410.20,pearson,['genome_avg_NOSC'],two-sided,51287,0.11496135730480388,[0.11 0.12],2.1259222810534616e-150,3.5909829871591474e-150,fdr_bh,Ribosomal protein S9/S16,Ribosomal protein S8,J,J,"J,J"
PF00380.20,PF00466.21,pearson,['genome_avg_NOSC'],two-sided,50993,0.17441340939506733,[0.17 0.18],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,Ribosomal protein L10,J,J,"J,J"
PF00380.20,PF01025.20,pearson,['genome_avg_NOSC'],two-sided,50013,0.1631643166911042,[0.15 0.17],2.053056497156679e-295,5.136238048247613e-295,fdr_bh,Ribosomal protein S9/S16,GrpE,J,O,"J,O"
PF00380.20,PF02576.18,pearson,['genome_avg_NOSC'],two-sided,45000,0.0001491746702945601,[-0.01  0.01],0.9747563561035986,0.975166089754756,fdr_bh,Ribosomal protein S9/S16,RimP N-terminal domain,J,J,"J,J"
PF00380.20,PF03726.15,pearson,['genome_avg_NOSC'],two-sided,49700,-0.0034822757965062958,[-0.01  0.01],0.43757419813927434,0.4423445808741921,fdr_bh,Ribosomal protein S9/S16,"Polyribonucleotide nucleotidyltransferase, RNA binding domain",J,J,"J,J"
PF00380.20,TIGR00006,pearson,['genome_avg_NOSC'],two-sided,52727,-0.049750637437704824,[-0.06 -0.04],2.940029535698676e-30,3.507403656622982e-30,fdr_bh,Ribosomal protein S9/S16,16S rRNA (cytosine(1402)-N(4))-methyltransferase,J,J,"J,J"
PF00380.20,TIGR00019,pearson,['genome_avg_NOSC'],two-sided,53235,0.2691356038616328,[0.26 0.28],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,peptide chain release factor 1,J,J,"J,J"
PF00380.20,TIGR00020,pearson,['genome_avg_NOSC'],two-sided,52347,0.236234054875519,[0.23 0.24],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,peptide chain release factor 2,J,J,"J,J"
PF00380.20,TIGR00029,pearson,['genome_avg_NOSC'],two-sided,53077,0.2247493591630897,[0.22 0.23],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal protein bS20,J,J,"J,J"
PF00380.20,TIGR00043,pearson,['genome_avg_NOSC'],two-sided,52351,0.00857464944670092,[0.   0.02],0.049776514672374934,0.05113731147636792,fdr_bh,Ribosomal protein S9/S16,rRNA maturation RNase YbeY,J,J,"J,J"
PF00380.20,TIGR00054,pearson,['genome_avg_NOSC'],two-sided,51981,0.12429201710504124,[0.12 0.13],5.281541655007638e-178,9.597914842645593e-178,fdr_bh,Ribosomal protein S9/S16,RIP metalloprotease RseP,J,O,"J,O"
PF00380.20,TIGR00059,pearson,['genome_avg_NOSC'],two-sided,53264,0.15638932576273012,[0.15 0.16],9.19484867234158e-289,2.2630547921585278e-288,fdr_bh,Ribosomal protein S9/S16,ribosomal protein bL17,J,J,"J,J"
PF00380.20,TIGR00061,pearson,['genome_avg_NOSC'],two-sided,53430,0.20814615862496724,[0.2  0.22],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal protein bL21,J,J,"J,J"
PF00380.20,TIGR00064,pearson,['genome_avg_NOSC'],two-sided,49760,0.12176743785239784,[0.11 0.13],1.160826495880114e-163,2.032941177479523e-163,fdr_bh,Ribosomal protein S9/S16,signal recognition particle-docking protein FtsY,J,U,"J,U"
PF00380.20,TIGR00065,pearson,['genome_avg_NOSC'],two-sided,49249,0.10901076645931679,[0.1  0.12],4.789808408688894e-130,7.728640008596317e-130,fdr_bh,Ribosomal protein S9/S16,cell division protein FtsZ,J,D,"D,J"
PF00380.20,TIGR00082,pearson,['genome_avg_NOSC'],two-sided,52240,0.14284046116977267,[0.13 0.15],3.596069418655709e-236,7.68280540071866e-236,fdr_bh,Ribosomal protein S9/S16,ribosome-binding factor A,J,J,"J,J"
PF00380.20,TIGR00083,pearson,['genome_avg_NOSC'],two-sided,48767,0.031741913394319775,[0.02 0.04],2.3634757185747404e-12,2.610242324922451e-12,fdr_bh,Ribosomal protein S9/S16,riboflavin biosynthesis protein RibF,J,H,"H,J"
PF00380.20,TIGR00084,pearson,['genome_avg_NOSC'],two-sided,51425,0.08194904560847152,[0.07 0.09],2.459062364653844e-77,3.4508068560590495e-77,fdr_bh,Ribosomal protein S9/S16,Holliday junction DNA helicase RuvA,J,L,"J,L"
PF00380.20,TIGR00086,pearson,['genome_avg_NOSC'],two-sided,52751,0.1366733186993782,[0.13 0.15],2.6516872381173246e-218,5.374126278784472e-218,fdr_bh,Ribosomal protein S9/S16,SsrA-binding protein,J,O,"J,O"
PF00380.20,TIGR00088,pearson,['genome_avg_NOSC'],two-sided,53672,0.17541047724015255,[0.17 0.18],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,tRNA (guanine(37)-N(1))-methyltransferase,J,J,"J,J"
PF00380.20,TIGR00090,pearson,['genome_avg_NOSC'],two-sided,49490,0.03620065976048419,[0.03 0.04],7.903802697116654e-16,8.870347572683576e-16,fdr_bh,Ribosomal protein S9/S16,ribosome silencing factor,J,J,"J,J"
PF00380.20,TIGR00092,pearson,['genome_avg_NOSC'],two-sided,52268,0.02046984994250947,[0.01 0.03],2.866080234596752e-06,3.0565814600479177e-06,fdr_bh,Ribosomal protein S9/S16,GTP-binding protein YchF,J,J,"J,J"
PF00380.20,TIGR00095,pearson,['genome_avg_NOSC'],two-sided,50778,0.04156996069873228,[0.03 0.05],7.17859641691776e-21,8.245685073486615e-21,fdr_bh,Ribosomal protein S9/S16,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,J,J,"J,J"
PF00380.20,TIGR00115,pearson,['genome_avg_NOSC'],two-sided,49550,0.14197447338646282,[0.13 0.15],2.089008661108395e-221,4.272564262478929e-221,fdr_bh,Ribosomal protein S9/S16,trigger factor,J,O,"J,O"
PF00380.20,TIGR00116,pearson,['genome_avg_NOSC'],two-sided,53497,0.040366623453535436,[0.03 0.05],9.627364095526639e-21,1.1054901840151206e-20,fdr_bh,Ribosomal protein S9/S16,translation elongation factor Ts,J,J,"J,J"
PF00380.20,TIGR00138,pearson,['genome_avg_NOSC'],two-sided,47446,0.08122237284280631,[0.07 0.09],2.9094618314069665e-70,3.994146794125311e-70,fdr_bh,Ribosomal protein S9/S16,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,J,J,"J,J"
PF00380.20,TIGR00158,pearson,['genome_avg_NOSC'],two-sided,53003,0.1557491468947135,[0.15 0.16],5.332396079761007e-285,1.2958920357213612e-284,fdr_bh,Ribosomal protein S9/S16,ribosomal protein bL9,J,J,"J,J"
PF00380.20,TIGR00166,pearson,['genome_avg_NOSC'],two-sided,53413,0.2452506367208017,[0.24 0.25],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal protein bS6,J,J,"J,J"
PF00380.20,TIGR00168,pearson,['genome_avg_NOSC'],two-sided,52448,0.14778393256241346,[0.14 0.16],7.845382481739198e-254,1.757641384362029e-253,fdr_bh,Ribosomal protein S9/S16,translation initiation factor IF-3,J,J,"J,J"
PF00380.20,TIGR00186,pearson,['genome_avg_NOSC'],two-sided,45610,0.1867958830010836,[0.18 0.2 ],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,"RNA methyltransferase, TrmH family, group 3",J,J,"J,J"
PF00380.20,TIGR00194,pearson,['genome_avg_NOSC'],two-sided,52427,0.21256693053989498,[0.2  0.22],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,excinuclease ABC subunit C,J,L,"J,L"
PF00380.20,TIGR00250,pearson,['genome_avg_NOSC'],two-sided,51008,0.20152079567324557,[0.19 0.21],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,putative transcription antitermination factor YqgF,J,J,"J,J"
PF00380.20,TIGR00337,pearson,['genome_avg_NOSC'],two-sided,49427,0.12797858038911084,[0.12 0.14],1.6329631335806135e-179,2.975084657761056e-179,fdr_bh,Ribosomal protein S9/S16,CTP synthase,J,F,"F,J"
PF00380.20,TIGR00344,pearson,['genome_avg_NOSC'],two-sided,52681,0.12377988808151333,[0.12 0.13],6.777391177058175e-179,1.2331950306879553e-178,fdr_bh,Ribosomal protein S9/S16,alanine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00362,pearson,['genome_avg_NOSC'],two-sided,50848,0.24399526809770392,[0.24 0.25],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,chromosomal replication initiator protein DnaA,J,L,"J,L"
PF00380.20,TIGR00382,pearson,['genome_avg_NOSC'],two-sided,44882,0.1364427871512779,[0.13 0.15],2.01742839016335e-185,3.7482276101395576e-185,fdr_bh,Ribosomal protein S9/S16,"ATP-dependent Clp protease, ATP-binding subunit ClpX",J,O,"J,O"
PF00380.20,TIGR00392,pearson,['genome_avg_NOSC'],two-sided,51311,0.2842421262168933,[0.28 0.29],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,isoleucine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00396,pearson,['genome_avg_NOSC'],two-sided,52326,0.14196273300702913,[0.13 0.15],1.1808163092555574e-233,2.506996267643378e-233,fdr_bh,Ribosomal protein S9/S16,leucine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00398,pearson,['genome_avg_NOSC'],two-sided,51731,0.15789194939937504,[0.15 0.17],5.88444677689893e-286,1.4354270579794451e-285,fdr_bh,Ribosomal protein S9/S16,methionine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00414,pearson,['genome_avg_NOSC'],two-sided,52235,0.23060881698709085,[0.22 0.24],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,serine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00416,pearson,['genome_avg_NOSC'],two-sided,45472,0.0862542769475657,[0.08 0.1 ],8.031390555439699e-76,1.1204401829980353e-75,fdr_bh,Ribosomal protein S9/S16,DNA repair protein RadA,J,L,"J,L"
PF00380.20,TIGR00420,pearson,['genome_avg_NOSC'],two-sided,51306,0.14756402048995887,[0.14 0.16],1.3052780576320567e-247,2.879111934350598e-247,fdr_bh,Ribosomal protein S9/S16,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,J,J,"J,J"
PF00380.20,TIGR00431,pearson,['genome_avg_NOSC'],two-sided,51750,0.06733817193896635,[0.06 0.08],4.43542565037721e-53,5.771630972060011e-53,fdr_bh,Ribosomal protein S9/S16,tRNA pseudouridine(55) synthase,J,J,"J,J"
PF00380.20,TIGR00435,pearson,['genome_avg_NOSC'],two-sided,51441,0.234286106149631,[0.23 0.24],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,cysteine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00436,pearson,['genome_avg_NOSC'],two-sided,47484,0.23741759170912127,[0.23 0.25],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,GTP-binding protein Era,J,J,"J,J"
PF00380.20,TIGR00442,pearson,['genome_avg_NOSC'],two-sided,52387,0.2421813686472563,[0.23 0.25],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,histidine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00445,pearson,['genome_avg_NOSC'],two-sided,50499,-0.051460393498946544,[-0.06 -0.04],5.7511523983317104e-31,6.880567715162267e-31,fdr_bh,Ribosomal protein S9/S16,phospho-N-acetylmuramoyl-pentapeptide-transferase,J,M,"J,M"
PF00380.20,TIGR00456,pearson,['genome_avg_NOSC'],two-sided,51616,0.232207031416451,[0.22 0.24],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,arginine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00459,pearson,['genome_avg_NOSC'],two-sided,49388,-0.01257116153519735,[-0.02 -0.  ],0.005210037030595285,0.005414010245735749,fdr_bh,Ribosomal protein S9/S16,aspartate--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00460,pearson,['genome_avg_NOSC'],two-sided,52137,0.14163447235794038,[0.13 0.15],9.661592842006929e-232,2.0391301475592516e-231,fdr_bh,Ribosomal protein S9/S16,methionyl-tRNA formyltransferase,J,J,"J,J"
PF00380.20,TIGR00468,pearson,['genome_avg_NOSC'],two-sided,53207,0.188053147250618,[0.18 0.2 ],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,"phenylalanine--tRNA ligase, alpha subunit",J,J,"J,J"
PF00380.20,TIGR00472,pearson,['genome_avg_NOSC'],two-sided,52463,0.18953681898121358,[0.18 0.2 ],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,"phenylalanine--tRNA ligase, beta subunit",J,J,"J,J"
PF00380.20,TIGR00487,pearson,['genome_avg_NOSC'],two-sided,53645,0.0798174147460745,[0.07 0.09],1.5409201254259724e-76,2.1539094940370875e-76,fdr_bh,Ribosomal protein S9/S16,translation initiation factor IF-2,J,J,"J,J"
PF00380.20,TIGR00496,pearson,['genome_avg_NOSC'],two-sided,54300,0.12293098692670322,[0.11 0.13],8.06914365667864e-182,1.481833480161664e-181,fdr_bh,Ribosomal protein S9/S16,ribosome recycling factor,J,J,"J,J"
PF00380.20,TIGR00539,pearson,['genome_avg_NOSC'],two-sided,47911,-0.1594397766379358,[-0.17 -0.15],3.0334118313833845e-270,7.11049260540951e-270,fdr_bh,Ribosomal protein S9/S16,putative oxygen-independent coproporphyrinogen III oxidase,J,H,"H,J"
PF00380.20,TIGR00580,pearson,['genome_avg_NOSC'],two-sided,49289,0.03776853761456701,[0.03 0.05],4.9559614587335033e-17,5.594555702032762e-17,fdr_bh,Ribosomal protein S9/S16,transcription-repair coupling factor,J,L,"J,L"
PF00380.20,TIGR00593,pearson,['genome_avg_NOSC'],two-sided,51647,0.13636263948749375,[0.13 0.14],8.295755573125103e-213,1.6582221386369886e-212,fdr_bh,Ribosomal protein S9/S16,DNA polymerase I,J,L,"J,L"
PF00380.20,TIGR00615,pearson,['genome_avg_NOSC'],two-sided,52941,0.20284851291296885,[0.19 0.21],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,recombination protein RecR,J,L,"J,L"
PF00380.20,TIGR00631,pearson,['genome_avg_NOSC'],two-sided,52322,-0.03137133152119689,[-0.04 -0.02],7.10466552310854e-13,7.874466289195121e-13,fdr_bh,Ribosomal protein S9/S16,excinuclease ABC subunit B,J,L,"J,L"
PF00380.20,TIGR00634,pearson,['genome_avg_NOSC'],two-sided,47035,0.2243845049815221,[0.22 0.23],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,DNA repair protein RecN,J,L,"J,L"
PF00380.20,TIGR00635,pearson,['genome_avg_NOSC'],two-sided,52199,0.12923773935993807,[0.12 0.14],3.3412194168130965e-193,6.366775189763947e-193,fdr_bh,Ribosomal protein S9/S16,Holliday junction DNA helicase RuvB,J,L,"J,L"
PF00380.20,TIGR00643,pearson,['genome_avg_NOSC'],two-sided,50163,0.1238270281296444,[0.12 0.13],1.4277492969808996e-170,2.5434456039030998e-170,fdr_bh,Ribosomal protein S9/S16,ATP-dependent DNA helicase RecG,J,L,"J,L"
PF00380.20,TIGR00663,pearson,['genome_avg_NOSC'],two-sided,50566,0.08823822826822515,[0.08 0.1 ],6.048036619014008e-88,8.708001907594276e-88,fdr_bh,Ribosomal protein S9/S16,"DNA polymerase III, beta subunit",J,L,"J,L"
PF00380.20,TIGR00717,pearson,['genome_avg_NOSC'],two-sided,43951,0.14243194857822833,[0.13 0.15],6.828670316474727e-198,1.3177488124224203e-197,fdr_bh,Ribosomal protein S9/S16,ribosomal protein bS1,J,J,"J,J"
PF00380.20,TIGR00755,pearson,['genome_avg_NOSC'],two-sided,52740,0.177969146636747,[0.17 0.19],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal RNA small subunit methyltransferase A,J,J,"J,J"
PF00380.20,TIGR00810,pearson,['genome_avg_NOSC'],two-sided,52703,0.11304480550804694,[0.1  0.12],2.0170139358606503e-149,3.393374057974798e-149,fdr_bh,Ribosomal protein S9/S16,"preprotein translocase, SecG subunit",J,U,"J,U"
PF00380.20,TIGR00922,pearson,['genome_avg_NOSC'],two-sided,50241,0.2830421747707414,[0.27 0.29],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,transcription termination/antitermination factor NusG,J,K,"J,K"
PF00380.20,TIGR00928,pearson,['genome_avg_NOSC'],two-sided,45559,0.1381173224613729,[0.13 0.15],7.910185730514658e-193,1.5060993630899908e-192,fdr_bh,Ribosomal protein S9/S16,adenylosuccinate lyase,J,F,"F,J"
PF00380.20,TIGR00959,pearson,['genome_avg_NOSC'],two-sided,49191,0.1020828495116675,[0.09 0.11],4.5298478332614945e-114,7.03570013693432e-114,fdr_bh,Ribosomal protein S9/S16,signal recognition particle protein,J,U,"J,U"
PF00380.20,TIGR00963,pearson,['genome_avg_NOSC'],two-sided,51175,0.2928910188129942,[0.28 0.3 ],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,"preprotein translocase, SecA subunit",J,U,"J,U"
PF00380.20,TIGR00964,pearson,['genome_avg_NOSC'],two-sided,49161,-0.07521425941763529,[-0.08 -0.07],1.3154871130303336e-62,1.7628712438131724e-62,fdr_bh,Ribosomal protein S9/S16,"preprotein translocase, SecE subunit",J,U,"J,U"
PF00380.20,TIGR00967,pearson,['genome_avg_NOSC'],two-sided,51695,0.15309484407093546,[0.14 0.16],1.3839819861205084e-268,3.2261284299381097e-268,fdr_bh,Ribosomal protein S9/S16,"preprotein translocase, SecY subunit",J,U,"J,U"
PF00380.20,TIGR01009,pearson,['genome_avg_NOSC'],two-sided,50635,0.07273207582009653,[0.06 0.08],2.3501162999755308e-60,3.127647787851871e-60,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uS3,J,J,"J,J"
PF00380.20,TIGR01011,pearson,['genome_avg_NOSC'],two-sided,53383,0.1703870295721101,[0.16 0.18],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uS2,J,J,"J,J"
PF00380.20,TIGR01017,pearson,['genome_avg_NOSC'],two-sided,51602,0.22125389450226035,[0.21 0.23],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uS4,J,J,"J,J"
PF00380.20,TIGR01021,pearson,['genome_avg_NOSC'],two-sided,51707,0.13169987131892005,[0.12 0.14],9.531859034223594e-199,1.8438762802589123e-198,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uS5,J,J,"J,J"
PF00380.20,TIGR01029,pearson,['genome_avg_NOSC'],two-sided,50437,0.09922515512014488,[0.09 0.11],1.5607093846420445e-110,2.3887384793878237e-110,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uS7,J,J,"J,J"
