gene_id,genome_accession,Ce,NC,NOSC
DXIQ01000005.1_1,GB_GCA_019112785,-59.88,449,-0.1333630289532294
DXIQ01000005.1_2,GB_GCA_019112785,-758.1700000000001,2517,-0.30121970599920544
DXIQ01000005.1_3,GB_GCA_019112785,-142.18,572,-0.24856643356643357
DXIQ01000005.1_4,GB_GCA_019112785,-156.01999999999998,779,-0.20028241335044927
DXIQ01000005.1_5,GB_GCA_019112785,-153.76,1380,-0.11142028985507246
DXIQ01000005.1_6,GB_GCA_019112785,-337.40000000000003,1971,-0.17118214104515475
DXIQ01000005.1_7,GB_GCA_019112785,-323.8,1473,-0.2198234894772573
DXIQ01000005.1_8,GB_GCA_019112785,-454.01,4429,-0.10250846692255589
DXIQ01000005.1_9,GB_GCA_019112785,-279.56,811,-0.3447102342786683
DXIQ01000005.1_10,GB_GCA_019112785,-253.33,1753,-0.14451226468910439
DXIQ01000005.1_11,GB_GCA_019112785,-193.87,1036,-0.18713320463320463
DXIQ01000005.1_12,GB_GCA_019112785,-291.02,2655,-0.1096120527306968
DXIQ01000005.1_13,GB_GCA_019112785,-666.58,4267,-0.15621748300913993
DXIQ01000005.1_14,GB_GCA_019112785,-786.16,5462,-0.14393262541193702
DXIQ01000005.1_15,GB_GCA_019112785,-233.66,1600,-0.1460375
DXIQ01000005.1_16,GB_GCA_019112785,-201.11,2110,-0.09531279620853081
DXIQ01000005.1_17,GB_GCA_019112785,-533.19,1447,-0.3684796129923981
DXIQ01000005.1_18,GB_GCA_019112785,-463.24,1508,-0.30718832891246683
DXIQ01000005.1_19,GB_GCA_019112785,-219.96,1170,-0.188
DXIQ01000005.1_20,GB_GCA_019112785,-231.54,1485,-0.1559191919191919
DXIQ01000005.1_21,GB_GCA_019112785,-225.26000000000002,1453,-0.15503097040605646
DXIQ01000005.1_22,GB_GCA_019112785,-247.32,1389,-0.17805615550755938
DXIQ01000005.1_23,GB_GCA_019112785,-315.41999999999996,2468,-0.12780388978930307
DXIQ01000005.1_24,GB_GCA_019112785,-161.14,1276,-0.12628526645768023
DXIQ01000005.1_25,GB_GCA_019112785,-65.61,656,-0.10001524390243903
DXIQ01000005.1_26,GB_GCA_019112785,-365.9,1783,-0.20521592821088053
DXIQ01000005.1_27,GB_GCA_019112785,-57.96,504,-0.115
DXIQ01000005.1_28,GB_GCA_019112785,-293.68,1718,-0.17094295692665892
DXIQ01000005.1_29,GB_GCA_019112785,-257.71000000000004,1335,-0.19304119850187268
DXIQ01000005.1_30,GB_GCA_019112785,-202.0,960,-0.21041666666666667
DXIQ01000005.1_31,GB_GCA_019112785,-342.87,2580,-0.1328953488372093
DXIQ01000005.1_32,GB_GCA_019112785,-71.56,869,-0.0823475258918297
DXIQ01000005.1_33,GB_GCA_019112785,-216.01999999999998,1029,-0.20993197278911563
DXIQ01000005.1_34,GB_GCA_019112785,-420.21,2641,-0.1591101855357819
DXIQ01000005.1_35,GB_GCA_019112785,-230.96,1719,-0.13435718440954045
DXIQ01000005.1_36,GB_GCA_019112785,-521.47,3089,-0.16881515053415347
DXIQ01000005.1_37,GB_GCA_019112785,-129.96,1300,-0.09996923076923077
DXIQ01000005.1_38,GB_GCA_019112785,-307.81,2416,-0.12740480132450333
DXIQ01000005.1_39,GB_GCA_019112785,-451.46000000000004,2349,-0.19219242230736486
DXIQ01000005.1_40,GB_GCA_019112785,-48.02,481,-0.09983367983367984
DXIQ01000005.1_41,GB_GCA_019112785,-339.37,2305,-0.14723210412147505
DXIQ01000005.1_42,GB_GCA_019112785,-239.05,1997,-0.11970455683525288
DXIQ01000005.1_43,GB_GCA_019112785,-173.95999999999998,928,-0.18745689655172412
DXIQ01000005.1_44,GB_GCA_019112785,-293.25,2252,-0.13021758436944939
DXIQ01000005.1_45,GB_GCA_019112785,-259.97999999999996,1462,-0.17782489740082078
DXIQ01000046.1_1,GB_GCA_019112785,-59.92999999999999,214,-0.2800467289719626
DXIQ01000046.1_2,GB_GCA_019112785,-97.86,358,-0.2733519553072626
DXIQ01000046.1_3,GB_GCA_019112785,-131.75,1208,-0.10906456953642384
DXIQ01000046.1_4,GB_GCA_019112785,-411.97,2312,-0.1781877162629758
DXIQ01000046.1_5,GB_GCA_019112785,-237.79000000000002,872,-0.2726949541284404
DXIQ01000046.1_6,GB_GCA_019112785,-460.65,2492,-0.18485152487961476
DXIQ01000046.1_7,GB_GCA_019112785,-114.13999999999999,451,-0.2530820399113082
DXIQ01000046.1_8,GB_GCA_019112785,-273.91999999999996,1296,-0.211358024691358
DXIQ01000046.1_9,GB_GCA_019112785,-560.13,3531,-0.1586321155480034
DXIQ01000046.1_10,GB_GCA_019112785,-173.95000000000002,1424,-0.1221558988764045
DXIQ01000046.1_11,GB_GCA_019112785,-347.74,2557,-0.13599530700039109
DXIQ01000046.1_12,GB_GCA_019112785,-48.160000000000004,437,-0.11020594965675058
DXIQ01000046.1_13,GB_GCA_019112785,-276.08,1078,-0.2561038961038961
DXIQ01000046.1_14,GB_GCA_019112785,-271.40999999999997,2099,-0.12930443068127678
DXIQ01000046.1_15,GB_GCA_019112785,-237.96,1115,-0.2134170403587444
DXIQ01000046.1_16,GB_GCA_019112785,-57.779999999999994,814,-0.07098280098280098
DXIQ01000046.1_17,GB_GCA_019112785,-91.95,566,-0.16245583038869257
DXIQ01000046.1_18,GB_GCA_019112785,-543.72,2744,-0.19814868804664723
DXIQ01000046.1_19,GB_GCA_019112785,-33.74,433,-0.07792147806004619
DXIQ01000046.1_20,GB_GCA_019112785,-130.26,722,-0.18041551246537396
DXIQ01000046.1_21,GB_GCA_019112785,-69.97,463,-0.1511231101511879
DXIQ01000046.1_22,GB_GCA_019112785,-305.75,2218,-0.13784941388638414
DXIQ01000046.1_23,GB_GCA_019112785,-113.86,396,-0.2875252525252525
DXIQ01000046.1_24,GB_GCA_019112785,-403.57,1998,-0.20198698698698697
DXIQ01000046.1_25,GB_GCA_019112785,-281.70000000000005,1887,-0.14928457869634343
DXIQ01000046.1_26,GB_GCA_019112785,-295.94,1245,-0.2377028112449799
DXIQ01000046.1_27,GB_GCA_019112785,-331.7900000000001,1686,-0.19679122182680905
DXIQ01000046.1_28,GB_GCA_019112785,-639.0,1608,-0.39738805970149255
DXIQ01000046.1_29,GB_GCA_019112785,-107.77,1819,-0.059246838922484876
DXIQ01000046.1_30,GB_GCA_019112785,-298.26,2881,-0.10352655328011107
DXIQ01000046.1_31,GB_GCA_019112785,-75.96000000000001,739,-0.102787550744249
DXIQ01000047.1_1,GB_GCA_019112785,-387.13,3290,-0.11766869300911854
DXIQ01000047.1_2,GB_GCA_019112785,-327.80999999999995,1753,-0.18699942954934395
DXIQ01000047.1_3,GB_GCA_019112785,-358.47999999999996,2940,-0.12193197278911563
DXIQ01000047.1_4,GB_GCA_019112785,-245.35,1664,-0.14744591346153846
DXIQ01000047.1_5,GB_GCA_019112785,-411.68,2013,-0.20451068057625435
DXIQ01000047.1_6,GB_GCA_019112785,-23.9,249,-0.09598393574297188
DXIQ01000047.1_7,GB_GCA_019112785,-419.65,2069,-0.20282745287578538
DXIQ01000048.1_1,GB_GCA_019112785,-537.67,2805,-0.1916827094474153
DXIQ01000048.1_2,GB_GCA_019112785,-473.22,1619,-0.2922915379864114
DXIQ01000048.1_3,GB_GCA_019112785,-413.2900000000001,1381,-0.29926864590876184
DXIQ01000048.1_4,GB_GCA_019112785,-202.54000000000002,2525,-0.08021386138613862
DXIQ01000048.1_5,GB_GCA_019112785,-234.05,1289,-0.18157486423584174
DXIQ01000048.1_6,GB_GCA_019112785,-251.84999999999997,1647,-0.15291438979963567
DXIQ01000048.1_7,GB_GCA_019112785,-387.91,1952,-0.19872438524590166
DXIQ01000048.1_8,GB_GCA_019112785,-365.22,1184,-0.30846283783783784
DXIQ01000048.1_9,GB_GCA_019112785,-310.06,1229,-0.25228641171684296
DXIQ01000048.1_10,GB_GCA_019112785,-291.6700000000001,2049,-0.14234748657881896
DXIQ01000048.1_11,GB_GCA_019112785,-119.5,953,-0.12539349422875132
DXIQ01000048.1_12,GB_GCA_019112785,-459.53000000000003,2673,-0.1719154508043397
DXIQ01000048.1_13,GB_GCA_019112785,-743.46,3009,-0.24707876370887338
DXIQ01000048.1_14,GB_GCA_019112785,-129.94,477,-0.27241090146750524
DXIQ01000049.1_1,GB_GCA_019112785,-83.63,492,-0.16997967479674797
DXIQ01000049.1_2,GB_GCA_019112785,-171.87,978,-0.1757361963190184
DXIQ01000049.1_3,GB_GCA_019112785,-199.17000000000002,1361,-0.1463409257898604
DXIQ01000049.1_4,GB_GCA_019112785,-163.89000000000001,817,-0.2005997552019584
DXIQ01000049.1_5,GB_GCA_019112785,-834.3399999999999,2348,-0.3553407155025553
DXIQ01000049.1_6,GB_GCA_019112785,-460.87,1366,-0.3373865300146413
DXIQ01000049.1_7,GB_GCA_019112785,-258.97,2936,-0.08820504087193462
DXIQ01000049.1_8,GB_GCA_019112785,-181.39,1929,-0.094033177812338
DXIQ01000049.1_9,GB_GCA_019112785,-365.84,2060,-0.17759223300970872
DXIQ01000049.1_10,GB_GCA_019112785,-207.76,1374,-0.15120815138282387
DXIQ01000049.1_11,GB_GCA_019112785,-271.94,1361,-0.199808963997061
DXIQ01000049.1_12,GB_GCA_019112785,-91.68,904,-0.10141592920353983
DXIQ01000049.1_13,GB_GCA_019112785,-175.49,1458,-0.12036351165980796
DXIQ01000049.1_14,GB_GCA_019112785,-302.12,1749,-0.17273870783304746
DXIQ01000049.1_15,GB_GCA_019112785,-174.19,871,-0.1999885189437428
DXIQ01000049.1_16,GB_GCA_019112785,-237.99,1337,-0.1780029917726253
DXIQ01000049.1_17,GB_GCA_019112785,-217.21,1604,-0.13541770573566086
DXIQ01000049.1_18,GB_GCA_019112785,-283.64,2034,-0.13944936086529006
DXIQ01000049.1_19,GB_GCA_019112785,-401.76,2396,-0.1676794657762938
DXIQ01000049.1_20,GB_GCA_019112785,-371.68999999999994,2214,-0.1678816621499548
DXIQ01000049.1_21,GB_GCA_019112785,-113.77999999999999,688,-0.16537790697674418
DXIQ01000049.1_22,GB_GCA_019112785,-357.74,2219,-0.16121676430824697
DXIQ01000049.1_23,GB_GCA_019112785,-223.85000000000002,1396,-0.16035100286532952
DXIQ01000049.1_24,GB_GCA_019112785,-98.02999999999999,434,-0.22587557603686634
DXIQ01000049.1_25,GB_GCA_019112785,-164.18,970,-0.1692577319587629
DXIQ01000049.1_26,GB_GCA_019112785,-235.82,1459,-0.161631254283756
DXIQ01000049.1_27,GB_GCA_019112785,-321.61,2066,-0.15566795740561473
DXIQ01000049.1_28,GB_GCA_019112785,-346.90000000000003,3384,-0.10251182033096928
DXIQ01000049.1_29,GB_GCA_019112785,-326.9,3718,-0.08792361484669177
DXIQ01000049.1_30,GB_GCA_019112785,-410.57,3570,-0.11500560224089636
DXIQ01000049.1_31,GB_GCA_019112785,-121.82,958,-0.127160751565762
DXIQ01000049.1_32,GB_GCA_019112785,-213.26,1667,-0.12793041391721655
DXIQ01000049.1_33,GB_GCA_019112785,-405.52,2456,-0.16511400651465796
DXIQ01000049.1_34,GB_GCA_019112785,-321.53999999999996,1833,-0.17541734860883795
DXIQ01000049.1_35,GB_GCA_019112785,-656.23,2336,-0.2809203767123288
DXIQ01000049.1_36,GB_GCA_019112785,-381.97999999999996,1507,-0.25347047113470467
DXIQ01000049.1_37,GB_GCA_019112785,-375.23,986,-0.3805578093306288
DXIQ01000049.1_38,GB_GCA_019112785,62.459999999999994,993,0.06290030211480362
DXIQ01000049.1_39,GB_GCA_019112785,-281.58000000000004,1526,-0.18452162516382703
