X,Y,method,alternative,n,r,CI95%,p-unc,p-corr,p-adjust,BF10,power,X_desc,Y_desc,X_COG,Y_COG,COG_pair
PF00380.20,PF00410.20,pearson,two-sided,51287,0.36208289048078385,[0.35 0.37],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,Ribosomal protein S8,J,J,"J,J"
PF00380.20,PF00466.21,pearson,two-sided,50993,0.38426021285651024,[0.38 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,Ribosomal protein L10,J,J,"J,J"
PF00380.20,PF01025.20,pearson,two-sided,50013,0.415239838924659,[0.41 0.42],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,GrpE,J,O,"J,O"
PF00380.20,PF02576.18,pearson,two-sided,45000,0.35547089960381495,[0.35 0.36],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,RimP N-terminal domain,J,J,"J,J"
PF00380.20,PF03726.15,pearson,two-sided,49700,0.2864583864199861,[0.28 0.29],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"Polyribonucleotide nucleotidyltransferase, RNA binding domain",J,J,"J,J"
PF00380.20,TIGR00006,pearson,two-sided,52727,0.3693927776497555,[0.36 0.38],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,16S rRNA (cytosine(1402)-N(4))-methyltransferase,J,J,"J,J"
PF00380.20,TIGR00019,pearson,two-sided,53235,0.5263100014725224,[0.52 0.53],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,peptide chain release factor 1,J,J,"J,J"
PF00380.20,TIGR00020,pearson,two-sided,52347,0.484549514336726,[0.48 0.49],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,peptide chain release factor 2,J,J,"J,J"
PF00380.20,TIGR00029,pearson,two-sided,53077,0.44130733555221335,[0.43 0.45],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein bS20,J,J,"J,J"
PF00380.20,TIGR00043,pearson,two-sided,52351,0.3378137794967129,[0.33 0.35],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,rRNA maturation RNase YbeY,J,J,"J,J"
PF00380.20,TIGR00054,pearson,two-sided,51981,0.4564893377832651,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,RIP metalloprotease RseP,J,O,"J,O"
PF00380.20,TIGR00059,pearson,two-sided,53264,0.37319838338701994,[0.37 0.38],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein bL17,J,J,"J,J"
