,majority_protein_ids,gene_name,num_aas,mw_daltons,red_light_intensity_uE_m_s,copies_per_cell,NC_per,Ce_per,NC_total,Ce_total,NOSC,fraction_transmembrane,fraction_transmembrane_C,condition,growth_mode,stress,dataset,strain,species,organism_key,growth_rate_hr
0,P05429,"psbB,slr0906",507,55902.0,27.5,69.73314,2589.0,-403.72,180539.09946000003,-28152.663280800003,-0.1559366550791811,0.1775147928994082,0.1838547701815372,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
1,P09190,"psbE,ssr3451",81,9448.5,27.5,30.13294,432.0,-63.67,13017.43008,-1918.5642898,-0.1473842592592592,0.1728395061728395,0.1805555555555555,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
2,P09192,"psbD,sll0849",352,39492.0,27.5,51.21058,1856.0,-358.02,95046.83648,-18334.411851599998,-0.1928987068965517,0.2414772727272727,0.2359913793103448,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
3,P09193,"psbC,sll0851",460,50302.0,27.5,60.46868,2337.0,-450.17,141315.30516,-27221.1856756,-0.1926272999572101,0.1956521739130435,0.2045357295678219,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
4,P0DJF8,"mtnP,sll0135",326,35318.0,27.5,1.2558674,1587.0,-289.36,1993.0615638000002,-363.39779086400006,-0.1823314429741651,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
5,P10549,"psbO,sll0427",274,29911.0,27.5,79.2488,1345.0,-211.32,106589.636,-16746.856416,-0.1571152416356877,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
6,P12975,"psaE,ssr2831",74,8145.0,27.5,148.318,360.0,-31.9,53394.48,-4731.3442000000005,-0.0886111111111111,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
7,P14835,"psbH,ssl2598",64,7116.4,27.5,151.8088,333.0,-101.8,50552.3304,-15454.135839999999,-0.3057057057057057,0.3125,0.3573573573573573,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
8,P15729,"gtr,glcP,sll0771",468,49747.0,27.5,0.46061,2335.0,-676.3199999999999,1075.5243500000001,-311.51975519999996,-0.289644539614561,0.5106837606837606,0.5211991434689508,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
9,P16033,"psbA2,psbA-2,slr1311;psbA3,psbA-3,sll1867",360,39721.0,27.5,52.27192,1828.0,-286.15,95553.06976,-14957.609907999999,-0.1565371991247264,0.225,0.2215536105032823,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
10,P17253,"atpG,atpC,sll1327",314,34605.0,27.5,20.02202,1533.0,-267.92,30693.756660000003,-5364.299598400001,-0.1747684279191128,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
11,P19050,"ndhK1,psbG,slr1280",248,27345.0,27.5,4.932016,1213.0,-207.79,5982.535408,-1024.82360464,-0.1713025556471558,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
12,P19125,"ndhJ,slr1281",179,20593.0,27.5,2.850474,939.0,-133.48,2676.5950860000003,-380.48126952,-0.1421512247071352,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
13,P19569,"psaD,slr0737",141,15644.0,27.5,401.7798,697.0,-97.92,280040.5206,-39342.278016000004,-0.1404878048780488,0.0,0.0,photobio_27.5_uE,photobioreactor,False,zavrel_2019,PCC6803,Synechocystis sp.,PCC6803,0.025
