Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47),psbB slr0906,P05429,PSBB_SYNY3,photosynthetic electron transport in photosystem II [GO:0009772];protein-chromophore linkage [GO:0018298],integral component of membrane [GO:0016021];plasma membrane-derived thylakoid photosystem II [GO:0030096];thylakoid membrane [GO:0042651],"chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]","chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];integral component of membrane [GO:0016021];photosynthetic electron transport in photosystem II [GO:0009772];plasma membrane-derived thylakoid photosystem II [GO:0030096];protein-chromophore linkage [GO:0018298];thylakoid membrane [GO:0042651]",507,29,29,29,46.5,55.902,0,323.31,1.05E+11,1058,69.73314,62.31298,52.86816,64.775,54.62756,37.33008
Cytochrome b559 subunit alpha (PSII reaction center subunit V),psbE ssr3451,P09190,PSBE_SYNY3,photosynthetic electron transport chain [GO:0009767],integral component of membrane [GO:0016021];photosystem II reaction center [GO:0009539];plasma membrane-derived thylakoid photosystem II [GO:0030096];thylakoid membrane [GO:0042651],heme binding [GO:0020037];metal ion binding [GO:0046872],heme binding [GO:0020037];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];photosynthetic electron transport chain [GO:0009767];photosystem II reaction center [GO:0009539];plasma membrane-derived thylakoid photosystem II [GO:0030096];thylakoid membrane [GO:0042651],81,5,5,5,58,9.4485,0,180.14,14311000000,107,30.13294,24.67194,20.30978,22.72638,19.82798,15.74768
Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein),psbD sll0849,P09192,PSBD_SYNY3,photosynthetic electron transport in photosystem II [GO:0009772];protein-chromophore linkage [GO:0018298],integral component of membrane [GO:0016021];plasma membrane-derived thylakoid photosystem II [GO:0030096];thylakoid membrane [GO:0042651],"chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];metal ion binding [GO:0046872]","chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];photosynthetic electron transport in photosystem II [GO:0009772];plasma membrane-derived thylakoid photosystem II [GO:0030096];protein-chromophore linkage [GO:0018298];thylakoid membrane [GO:0042651]",352,11,11,11,31,39.492,0,323.31,47451000000,351,51.21058,47.47162,32.92554,40.23266,33.9836,20.94622
Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43),psbC sll0851,P09193,PSBC_SYNY3,photosynthetic electron transport in photosystem II [GO:0009772];protein-chromophore linkage [GO:0018298],integral component of membrane [GO:0016021];plasma membrane-derived thylakoid photosystem II [GO:0030096];thylakoid membrane [GO:0042651],"chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];metal ion binding [GO:0046872]","chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];photosynthetic electron transport in photosystem II [GO:0009772];plasma membrane-derived thylakoid photosystem II [GO:0030096];protein-chromophore linkage [GO:0018298];thylakoid membrane [GO:0042651]",460,27,27,27,42.8,50.302,0,323.31,87597000000,764,60.46868,52.3957,41.1934,49.40854,44.09344,27.60764
S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP),mtnP sll0135,P0DJF8,MTAP_SYNY3,L-methionine salvage from methylthioadenosine [GO:0019509];purine ribonucleoside salvage [GO:0006166],,S-methyl-5-thioadenosine phosphorylase activity [GO:0017061],L-methionine salvage from methylthioadenosine [GO:0019509];purine ribonucleoside salvage [GO:0006166];S-methyl-5-thioadenosine phosphorylase activity [GO:0017061],326,8,8,8,45.1,35.318,0,306.37,2768300000,186,1.2558674,1.36708,1.475114,1.560786,1.468844,1.308464
Photosystem II manganese-stabilizing polypeptide (MSP),psbO sll0427,P10549,PSBO_SYNY3,photosynthesis [GO:0015979];photosystem II stabilization [GO:0042549],extrinsic component of membrane [GO:0019898];integral component of membrane [GO:0016021];photosystem II oxygen evolving complex [GO:0009654];plasma membrane-derived thylakoid photosystem II [GO:0030096],calcium ion binding [GO:0005509],calcium ion binding [GO:0005509];extrinsic component of membrane [GO:0019898];integral component of membrane [GO:0016021];photosynthesis [GO:0015979];photosystem II oxygen evolving complex [GO:0009654];photosystem II stabilization [GO:0042549];plasma membrane-derived thylakoid photosystem II [GO:0030096],274,23,23,23,80.3,29.911,0,323.31,83443000000,744,79.2488,75.39388,61.16678,66.3039,59.07078,46.10686
Photosystem I reaction center subunit IV (Photosystem I 8.1 kDa protein) (p30 protein),psaE ssr2831,P12975,PSAE_SYNY3,photosynthesis [GO:0015979],photosystem I reaction center [GO:0009538];thylakoid membrane [GO:0042651],,photosynthesis [GO:0015979];photosystem I reaction center [GO:0009538];thylakoid membrane [GO:0042651],74,7,7,7,86.5,8.145,0,323.31,28155000000,262,148.318,124.82208,104.91452,117.89608,103.36146,66.37948
Photosystem II reaction center protein H (PSII-H),psbH ssl2598,P14835,PSBH_SYNY3,photosynthesis [GO:0015979];protein stabilization [GO:0050821],integral component of membrane [GO:0016021];plasma membrane-derived thylakoid photosystem II [GO:0030096];thylakoid membrane [GO:0042651],phosphate ion binding [GO:0042301],integral component of membrane [GO:0016021];phosphate ion binding [GO:0042301];photosynthesis [GO:0015979];plasma membrane-derived thylakoid photosystem II [GO:0030096];protein stabilization [GO:0050821];thylakoid membrane [GO:0042651],64,2,2,2,25,7.1164,0,100.14,15443000000,89,151.8088,136.65152,108.42444,135.3152,102.97528,72.26094
Glucose transport protein,gtr glcP sll0771,P15729,GLCP_SYNY3,,integral component of membrane [GO:0016021];plasma membrane [GO:0005886],sugar:proton symporter activity [GO:0005351],integral component of membrane [GO:0016021];plasma membrane [GO:0005886];sugar:proton symporter activity [GO:0005351],468,2,2,2,3,49.747,0,4.3167,422170000,20,0.46061,0.28787986,0.3029154,0.3346574,0.3129212,0.210063
Photosystem II protein D1 2 (PSII D1 protein 2) (EC 1.10.3.9) (Photosystem II Q(B) protein 2),psbA2 psbA-2 slr1311;psbA3 psbA-3 sll1867,P16033,PSBA2_SYNY3,photosynthetic electron transport in photosystem II [GO:0009772];protein-chromophore linkage [GO:0018298];response to herbicide [GO:0009635],integral component of membrane [GO:0016021];plasma membrane-derived thylakoid photosystem II [GO:0030096];thylakoid membrane [GO:0042651],"chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];metal ion binding [GO:0046872]","chlorophyll binding [GO:0016168];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];photosynthetic electron transport in photosystem II [GO:0009772];plasma membrane-derived thylakoid photosystem II [GO:0030096];protein-chromophore linkage [GO:0018298];response to herbicide [GO:0009635];thylakoid membrane [GO:0042651]",360,9,9,9,27.5,39.721,0,323.31,55151000000,310,52.27192,54.14688,43.34264,52.19794,48.8503,33.08156
